Fiscal Year,County,Region,Alleged Victims in Repeat Investigation,Alleged Victims in Initial Investigation,Recidivism
2023,Armstrong,1-Lubbock,2,12,0.167
2023,Bailey,1-Lubbock,5,36,0.139
2023,Briscoe,1-Lubbock,0,8,0
2023,Carson,1-Lubbock,8,27,0.296
2023,Castro,1-Lubbock,4,16,0.25
2023,Childress,1-Lubbock,8,29,0.276
2023,Cochran,1-Lubbock,8,26,0.308
2023,Collingsworth,1-Lubbock,1,10,0.1
2023,Crosby,1-Lubbock,9,47,0.191
2023,Dallam,1-Lubbock,2,22,0.091
2023,Deaf Smith,1-Lubbock,10,60,0.167
2023,Dickens,1-Lubbock,4,21,0.19
2023,Donley,1-Lubbock,3,15,0.2
2023,Floyd,1-Lubbock,15,58,0.259
2023,Garza,1-Lubbock,8,40,0.2
2023,Gray,1-Lubbock,28,122,0.23
2023,Hale,1-Lubbock,17,126,0.135
2023,Hall,1-Lubbock,3,11,0.273
2023,Hansford,1-Lubbock,1,10,0.1
2023,Hartley,1-Lubbock,1,15,0.067
2023,Hemphill,1-Lubbock,4,9,0.444
2023,Hockley,1-Lubbock,25,132,0.189
2023,Hutchinson,1-Lubbock,27,144,0.188
2023,Lamb,1-Lubbock,21,93,0.226
2023,Lipscomb,1-Lubbock,3,10,0.3
2023,Lubbock,1-Lubbock,406,1986,0.204
2023,Lynn,1-Lubbock,6,40,0.15
2023,Moore,1-Lubbock,12,68,0.176
2023,Motley,1-Lubbock,0,6,0
2023,Ochiltree,1-Lubbock,2,31,0.065
2023,Oldham,1-Lubbock,0,4,0
2023,Parmer,1-Lubbock,7,23,0.304
2023,Potter,1-Lubbock,153,840,0.182
2023,Randall,1-Lubbock,85,437,0.195
2023,Roberts,1-Lubbock,0,4,0
2023,Sherman,1-Lubbock,1,3,0.333
2023,Swisher,1-Lubbock,5,32,0.156
2023,Terry,1-Lubbock,34,171,0.199
2023,Wheeler,1-Lubbock,6,25,0.24
2023,Yoakum,1-Lubbock,6,45,0.133
2023,Archer,2-Abilene,13,62,0.21
2023,Baylor,2-Abilene,8,36,0.222
2023,Brown,2-Abilene,52,267,0.195
2023,Callahan,2-Abilene,17,104,0.163
2023,Clay,2-Abilene,18,104,0.173
2023,Coleman,2-Abilene,13,70,0.186
2023,Comanche,2-Abilene,18,93,0.194
2023,Cottle,2-Abilene,1,6,0.167
2023,Eastland,2-Abilene,32,139,0.23
2023,Fisher,2-Abilene,10,33,0.303
2023,Foard,2-Abilene,3,13,0.231
2023,Hardeman,2-Abilene,6,32,0.188
2023,Haskell,2-Abilene,8,40,0.2
2023,Jack,2-Abilene,10,47,0.213
2023,Jones,2-Abilene,9,79,0.114
2023,Kent,2-Abilene,1,9,0.111
2023,Knox,2-Abilene,9,46,0.196
2023,Mitchell,2-Abilene,3,37,0.081
2023,Montague,2-Abilene,36,171,0.211
2023,Nolan,2-Abilene,20,95,0.211
2023,Runnels,2-Abilene,12,83,0.145
2023,Scurry,2-Abilene,14,75,0.187
2023,Shackelford,2-Abilene,4,18,0.222
2023,Stephens,2-Abilene,8,45,0.178
2023,Stonewall,2-Abilene,2,9,0.222
2023,Taylor,2-Abilene,223,1248,0.179
2023,Throckmorton,2-Abilene,0,5,0
2023,Wichita,2-Abilene,306,1369,0.224
2023,Wilbarger,2-Abilene,28,149,0.188
2023,Young,2-Abilene,25,148,0.169
2023,Collin,3-Arlington,155,1515,0.102
2023,Cooke,3-Arlington,12,165,0.073
2023,Dallas,3-Arlington,1027,7057,0.146
2023,Denton,3-Arlington,167,1399,0.119
2023,Ellis,3-Arlington,47,419,0.112
2023,Erath,3-Arlington,19,138,0.138
2023,Fannin,3-Arlington,12,137,0.088
2023,Grayson,3-Arlington,73,634,0.115
2023,Hood,3-Arlington,22,231,0.095
2023,Hunt,3-Arlington,51,433,0.118
2023,Johnson,3-Arlington,69,574,0.12
2023,Kaufman,3-Arlington,40,343,0.117
2023,Navarro,3-Arlington,17,198,0.086
2023,Palo Pinto,3-Arlington,21,173,0.121
2023,Parker,3-Arlington,51,452,0.113
2023,Rockwall,3-Arlington,17,195,0.087
2023,Somervell,3-Arlington,5,31,0.161
2023,Tarrant,3-Arlington,833,6307,0.132
2023,Wise,3-Arlington,20,244,0.082
2023,Anderson,4-Tyler,34,236,0.144
2023,Bowie,4-Tyler,59,393,0.15
2023,Camp,4-Tyler,3,47,0.064
2023,Cass,4-Tyler,19,137,0.139
2023,Cherokee,4-Tyler,14,228,0.061
2023,Delta,4-Tyler,4,35,0.114
2023,Franklin,4-Tyler,3,35,0.086
2023,Gregg,4-Tyler,76,510,0.149
2023,Harrison,4-Tyler,22,259,0.085
2023,Henderson,4-Tyler,81,514,0.158
2023,Hopkins,4-Tyler,28,177,0.158
2023,Lamar,4-Tyler,31,240,0.129
2023,Marion,4-Tyler,13,77,0.169
2023,Morris,4-Tyler,18,92,0.196
2023,Panola,4-Tyler,7,74,0.095
2023,Rains,4-Tyler,3,63,0.048
2023,Red River,4-Tyler,8,67,0.119
2023,Rusk,4-Tyler,18,163,0.11
2023,Smith,4-Tyler,155,1028,0.151
2023,Titus,4-Tyler,19,92,0.207
2023,Upshur,4-Tyler,27,190,0.142
2023,Van Zandt,4-Tyler,52,301,0.173
2023,Wood,4-Tyler,27,262,0.103
2023,Angelina,5-Beaumont,56,420,0.133
2023,Hardin,5-Beaumont,29,233,0.124
2023,Houston,5-Beaumont,11,104,0.106
2023,Jasper,5-Beaumont,30,179,0.168
2023,Jefferson,5-Beaumont,169,1171,0.144
2023,Nacogdoches,5-Beaumont,56,283,0.198
2023,Newton,5-Beaumont,5,39,0.128
2023,Orange,5-Beaumont,58,440,0.132
2023,Polk,5-Beaumont,41,336,0.122
2023,Sabine,5-Beaumont,7,63,0.111
2023,San Augustine,5-Beaumont,12,80,0.15
2023,San Jacinto,5-Beaumont,30,149,0.201
2023,Shelby,5-Beaumont,20,123,0.163
2023,Trinity,5-Beaumont,13,125,0.104
2023,Tyler,5-Beaumont,10,123,0.081
2023,Austin,6-Houston,3,79,0.038
2023,Brazoria,6-Houston,138,905,0.152
2023,Chambers,6-Houston,19,116,0.164
2023,Colorado,6-Houston,12,85,0.141
2023,Fort Bend,6-Houston,214,1451,0.147
2023,Galveston,6-Houston,201,1259,0.16
2023,Harris,6-Houston,1814,13395,0.135
2023,Liberty,6-Houston,62,331,0.187
2023,Matagorda,6-Houston,13,110,0.118
2023,Montgomery,6-Houston,257,1629,0.158
2023,Walker,6-Houston,33,219,0.151
2023,Waller,6-Houston,19,107,0.178
2023,Wharton,6-Houston,27,143,0.189
2023,Bastrop,7-Austin,42,295,0.142
2023,Bell,7-Austin,220,1372,0.16
2023,Blanco,7-Austin,4,35,0.114
2023,Bosque,7-Austin,9,64,0.141
2023,Brazos,7-Austin,70,517,0.135
2023,Burleson,7-Austin,15,90,0.167
2023,Burnet,7-Austin,23,197,0.117
2023,Caldwell,7-Austin,20,139,0.144
2023,Coryell,7-Austin,31,265,0.117
2023,Falls,7-Austin,8,82,0.098
2023,Fayette,7-Austin,10,71,0.141
2023,Freestone,7-Austin,6,69,0.087
2023,Grimes,7-Austin,15,130,0.115
2023,Hamilton,7-Austin,5,46,0.109
2023,Hays,7-Austin,56,466,0.12
2023,Hill,7-Austin,21,147,0.143
2023,Lampasas,7-Austin,23,119,0.193
2023,Lee,7-Austin,5,41,0.122
2023,Leon,7-Austin,12,71,0.169
2023,Limestone,7-Austin,11,119,0.092
2023,Llano,7-Austin,9,108,0.083
