GovernmentName,FiscalYear,TaxRateMO,TaxRateIS,TaxRateTotal,TaxableValue,BudgetedTotalExpenditures,Population,ADAWealth,ADA,ADA5YrsAgo,ADAGrowth,ADAGrowthPct,PledgeType,TotalPrincipalOutstanding,TotalInterestOutstanding,TotalDebtServiceOutstanding,GODebtToTaxableValue,GODebtServiceToTaxableValue,DebtPerCapitaPledgeType,DebtPerADA,DebtServiceToExpenditures
Shelbyville ISD,2007,1.217,0.089,1.306,209649202,8082882,1500,302992.7998,692,652,40,6.135,GO,2244999,1104471,3349470,1.0708,1.5977,1497,3244,0.4144
Plano ISD,2015,1.17,0.278,1.448,37655097371,621916425,322445,722850.7352,51867,52413,-546,-1.0417,GO,852635313,338619443,1191254755,2.2643,3.1636,2644,16439,1.9155
Celina ISD,2021,0.9832,0.5,1.4832,1777204447,77439764,15593,626870.86,2834.016,2320,514.016,22.1559,GO,241855000,155901527,397756527,13.6087,22.381,15510,85341,5.1363
Honey Grove ISD,2014,1.04,0.3691,1.4091,160146679,7937971,2887,,552,570,-18,-3.1579,GO,9756769,5944031,15700800,6.0924,9.804,3380,17675,1.9779
Aubrey ISD,2007,1.37,0.297,1.667,420349579,11734237,6500,296466.3649,1418,963,455,47.2482,GO,46018163,62169369,108187532,10.9476,25.7375,7080,32453,9.2198
Gregory-Portland ISD,2018,1.17,0.18,1.35,2715909468,47062449,22376,385002.1581,4505,4245,260,6.1249,GO,148664000,96325366,244989366,5.4738,9.0205,6644,33000,5.2056
Rotan ISD,2012,1.17,0.047,1.217,78061264,4133977,2714,284752.7477,274,338,-64,-18.9349,GO,260000,32993,292993,0.3331,0.3753,96,949,0.0709
Greenville ISD,2009,1.04,0.153,1.193,1411866377,43705471,31400,321793.0531,4387,4916,-529,-10.7608,GO,22839998,12610564,35450563,1.6177,2.5109,727,5206,0.8111
Devers ISD,2012,1.04,0.055,1.095,279219178,2395747,1700,1788685.5346,156,124,32,25.8065,GO,1259437,129514,1388950,0.4511,0.4974,741,8073,0.5798
Flour Bluff ISD,2011,1.04,0.03,1.07,2255311527,49069650,26399,432904.7229,5210,4938,272,5.5083,GO,4785000,999700,5784700,0.2122,0.2565,181,918,0.1179
Lorena ISD,2021,1.0207,0.312,1.3327,630615597,20823062,7755,379407.71,1661.18,1613,48.18,2.987,GO,25452600,12229735,37682335,4.0362,5.9755,3282,15324,1.8096
Brownsboro ISD,2019,1.17,0.32,1.49,638484285,29076188,14957,261003.0296,2541.597,2499,42.597,1.7046,GO,24459427,7847837,32307264,3.8309,5.06,1635,9622,1.1111
