"County","School.Type","Number.of.Students","X..Economically.Disadvantaged","Overall.Rating","Overall.Score","Juvenile.Population","Youth.Referred","Referral.Rate.1.000","Recidivism"
"ANDERSON","District",342,0.541,"A","97",4488,10,2.450980392,0.134
"ANDERSON","District",3360,0.816,"B","89",4488,10,2.450980392,0.134
"ANDERSON","District",361,0.468,"B","89",4488,10,2.450980392,0.134
"ANDERSON","District",808,0.542,"A","92",4488,10,2.450980392,0.134
"ANDERSON","District",1150,0.454,"A","91",4488,10,2.450980392,0.134
"ANDERSON","District",574,0.408,"A","94",4488,10,2.450980392,0.134
"ANDERSON","District",1332,0.74,"B","88",4488,10,2.450980392,0.134
"ANDREWS","District",4131,0.496,"B","89",1838,43,27.74755169,0.048
"ANGELINA","District",995,0.578,"A","92",9371,110,14.51285882,0.107
"ANGELINA","District",1612,0.586,"B","88",9371,110,14.51285882,0.107
"ANGELINA","District",2799,0.501,"A","92",9371,110,14.51285882,0.107
"ANGELINA","District",7318,0.858,"B","87",9371,110,14.51285882,0.107
"ANGELINA","District",1744,0.706,"Not Rated: Data Under Review","90",9371,110,14.51285882,0.107
"ANGELINA","District",1451,0.564,"A","90",9371,110,14.51285882,0.107
"ANGELINA","District",300,0.687,"B","88",9371,110,14.51285882,0.107
"ARANSAS","District",3005,0.669,"B","84",1752,18,10.2739726,0.114
"ARCHER","District",506,0.411,"A","91",726,5,6.887052342,0.206
"ARCHER","District",1126,0.247,"A","94",726,5,6.887052342,0.206
"ARCHER","District",530,0.3,"A","95",726,5,6.887052342,0.206
"ARMSTRONG","District",307,0.362,"A","94",148,0,0,0.5
"ATASCOSA","District",1569,0.553,"A","90",5244,64,15.82761251,0.178
"ATASCOSA","District",1676,0.717,"C","72",5244,64,15.82761251,0.178
"ATASCOSA","District",1740,0.74,"B","86",5244,64,15.82761251,0.178
"ATASCOSA","District",3374,0.661,"B","89",5244,64,15.82761251,0.178
"ATASCOSA","District",397,0.685,"B","83",5244,64,15.82761251,0.178
"AUSTIN","District",2191,0.453,"C","78",2933,36,13.6379134,0.165
"AUSTIN","District",766,0.584,"B","87",2933,36,13.6379134,0.165
"AUSTIN","District",2814,0.603,"B","81",2933,36,13.6379134,0.165
"BAILEY","District",1347,0.876,"A","90",1004,14,14.94023904,0.13
"BANDERA","District",265,0.57,"C","76",1482,21,18.21862348,0.208
"BANDERA","District",2301,0.48,"Not Rated: Senate Bill 1365","68",1482,21,18.21862348,0.208
"BASTROP","District",319,0.577,"B","86",8631,99,13.90337157,0.135
"BASTROP","District",11947,0.702,"C","75",8631,99,13.90337157,0.135
"BASTROP","District",4985,0.711,"C","78",8631,99,13.90337157,0.135
"BASTROP","District",1780,0.457,"B","80",8631,99,13.90337157,0.135
"BAYLOR","District",618,0.605,"A","96",311,0,0,0.111
"BEE","District",401,0.835,"B","81",2691,39,16.72240803,0.156
"BEE","District",498,0.88,"B","87",2691,39,16.72240803,0.156
"BEE","District",785,0.601,"Not Rated: Data Under Review","93",2691,39,16.72240803,0.156
"BEE","District",2996,0.839,"B","87",2691,39,16.72240803,0.156
"BEE","District",377,0.66,"B","85",2691,39,16.72240803,0.156
"BELL","District",1749,0.364,"B","84",42004,316,9.689553376,0.163
"BELL","District",836,0.578,"B","86",42004,316,9.689553376,0.163
"BELL","District",656,0.434,"A","94",42004,316,9.689553376,0.163
"BELL","District",43839,0.619,"C","78",42004,316,9.689553376,0.163
"BELL","District",893,0.471,"B","88",42004,316,9.689553376,0.163
"BELL","District",13298,0.402,"B","87",42004,316,9.689553376,0.163
"BELL","District",1590,0.97,"C","73",42004,316,9.689553376,0.163
"BELL","District",8395,0.775,"C","77",42004,316,9.689553376,0.163
"BELL","District",1900,0.113,"A","91",42004,316,9.689553376,0.163
"BELL","District",2233,0.234,"B","88",42004,316,9.689553376,0.163
"BELL","District",1636,0.458,"A","90",42004,316,9.689553376,0.163
"BELL","District",394,0.883,"B","82",42004,316,9.689553376,0.163
"BEXAR","District",636,0.602,"Not Rated: Data Under Review","83",192094,1751,12.16071298,0.159
"BEXAR","District",353,0.901,"C","73",192094,1751,12.16071298,0.159
"BEXAR","District",261,0.969,"Not Rated: Senate Bill 1365","65",192094,1751,12.16071298,0.159
"BEXAR","District",93,0.903,"Not Rated: Senate Bill 1365","69",192094,1751,12.16071298,0.159
"BEXAR","District",572,0.799,"A","100",192094,1751,12.16071298,0.159
"BEXAR","District",124,0.919,"B","83",192094,1751,12.16071298,0.159
"BEXAR","District",776,0.867,"Not Rated: Data Under Review","85",192094,1751,12.16071298,0.159
"BEXAR","District",149,0.738,"A","91",192094,1751,12.16071298,0.159
"BEXAR","District",3421,0.081,"A","99",192094,1751,12.16071298,0.159
"BEXAR","District",794,0.825,"B","82",192094,1751,12.16071298,0.159
"BEXAR","District",489,0.178,"B","89",192094,1751,12.16071298,0.159
"BEXAR","District",1836,0.871,"C","77",192094,1751,12.16071298,0.159
"BEXAR","District",262,0.809,"Not Rated: Senate Bill 1365","59",192094,1751,12.16071298,0.159
"BEXAR","District",205,0.561,"C","74",192094,1751,12.16071298,0.159
"BEXAR","District",465,0.576,"Not Rated: Senate Bill 1365","41",192094,1751,12.16071298,0.159
"BEXAR","District",408,0.907,"Not Rated: Senate Bill 1365","51",192094,1751,12.16071298,0.159
"BEXAR","District",3972,0.601,"A","91",192094,1751,12.16071298,0.159
"BEXAR","District",4459,0.861,"B","87",192094,1751,12.16071298,0.159
"BEXAR","District",3141,0.636,"B","81",192094,1751,12.16071298,0.159
"BEXAR","District",5288,0.646,"A","91",192094,1751,12.16071298,0.159
"BEXAR","District",93,0.462,"A","90",192094,1751,12.16071298,0.159
"BEXAR","District",44568,0.88,"B","85",192094,1751,12.16071298,0.159
"BEXAR","District",8136,0.223,"A","92",192094,1751,12.16071298,0.159
"BEXAR","District",3955,0.847,"A","90",192094,1751,12.16071298,0.159
"BEXAR","District",59445,0.593,"B","89",192094,1751,12.16071298,0.159
"BEXAR","District",10002,0.664,"Not Rated: Senate Bill 1365","68",192094,1751,12.16071298,0.159
"BEXAR","District",13165,0.818,"B","86",192094,1751,12.16071298,0.159
"BEXAR","District",910,0.135,"B","81",192094,1751,12.16071298,0.159
"BEXAR","District",1635,0.257,"A","93",192094,1751,12.16071298,0.159
"BEXAR","District",101584,0.489,"B","84",192094,1751,12.16071298,0.159
"BEXAR","District",24517,0.687,"B","81",192094,1751,12.16071298,0.159
"BEXAR","District",5516,0.861,"B","88",192094,1751,12.16071298,0.159
"BEXAR","District",4788,0.195,"A","91",192094,1751,12.16071298,0.159
"BEXAR","District",12078,0.883,"B","83",192094,1751,12.16071298,0.159
"BEXAR","District",8383,0.89,"C","70",192094,1751,12.16071298,0.159
"BEXAR","District",1458,0.037,"A","95",192094,1751,12.16071298,0.159
"BEXAR","District",7919,0.903,"C","72",192094,1751,12.16071298,0.159
"BEXAR","District",111,0.973,"Not Rated",".",192094,1751,12.16071298,0.159
"BEXAR","District",30,0.867,"Not Rated",".",192094,1751,12.16071298,0.159
"BEXAR","District",5764,0.837,"C","75",192094,1751,12.16071298,0.159
"BLANCO","District",697,0.313,"A","91",790,8,11.39240506,0.045
"BLANCO","District",1058,0.42,"B","87",790,8,11.39240506,0.045
"BOSQUE","District",139,0.698,"B","81",1534,6,3.911342894,0.138
"BOSQUE","District",618,0.505,"B","89",1534,6,3.911342894,0.138
"BOSQUE","District",133,0.586,"B","89",1534,6,3.911342894,0.138
"BOSQUE","District",179,0.637,"Not Rated: Senate Bill 1365","68",1534,6,3.911342894,0.138
"BOSQUE","District",132,0.72,"B","86",1534,6,3.911342894,0.138
"BOSQUE","District",178,0.876,"B","80",1534,6,3.911342894,0.138
"BOSQUE","District",1024,0.62,"B","86",1534,6,3.911342894,0.138
"BOSQUE","District",392,0.633,"Not Rated: Senate Bill 1365","64",1534,6,3.911342894,0.138
"BOWIE","District",473,0.465,"A","92",8518,130,18.6663536,0.124
"BOWIE","District",208,0.505,"B","84",8518,130,18.6663536,0.124
"BOWIE","District",500,0.124,"A","94",8518,130,18.6663536,0.124
"BOWIE","District",2313,0.327,"A","94",8518,130,18.6663536,0.124
"BOWIE","District",69,0.623,"B","85",8518,130,18.6663536,0.124
"BOWIE","District",105,0.981,"C","79",8518,130,18.6663536,0.124
"BOWIE","District",783,0.688,"B","87",8518,130,18.6663536,0.124
"BOWIE","District",886,0.564,"B","89",8518,130,18.6663536,0.124
"BOWIE","District",474,0.57,"Not Rated: Data Under Review","92",8518,130,18.6663536,0.124
"BOWIE","District",1196,0.798,"B","87",8518,130,18.6663536,0.124
"BOWIE","District",1099,0.511,"A","93",8518,130,18.6663536,0.124
"BOWIE","District",7126,0.765,"B","80",8518,130,18.6663536,0.124
